sort,filename,caption_en,caption_zh,latitude,longitude,electoral_code,dc_winner,percentage_democracy
169,169.jpg,"Lok Hong, Eastern District","樂康，東區",22.271,114.236,C-32,democracy,56
170,170.jpg,"Victoria Park, Wan Chai District","維園，灣仔區",22.284,114.19,B-05,democracy,54.07
171,171.jpg,"Siu Sai Wan, Eastern District","小西灣，東區",22.264,114.248,C-11,democracy,53.67
172,172.jpg,"University, Central & Western District","大學，中西區",22.279,114.138,A-05,democracy,51.35
173,173.jpg,"Yau Oi North, Tuen Mun District","友愛北，屯門區",22.386,113.971,L-06,democracy,63.47
174,174.jpg,"Shek Lei South, Kwai Tsing District","石籬南，葵青區",22.363,114.141,S-13,democracy,58.93
175,175.jpg,"A Kung Ngam, Eastern District","阿公巖，東區",22.279,114.233,C-07,democracy,52.71
176,176.jpg,"Wah Do, North District","華都，北區",22.486,114.142,N-04,democracy,58.68
177,177.jpg,"Fung Nin, Yuen Long District","豐年，元朗區",22.442,114.026,M-01,democracy,53.65
178,178.jpg,"Tin Shing, Yuen Long District","天盛，元朗區",22.448,113.999,M-18,democracy,54.18
179,179.jpg,"Kai Tak North, Kowloon City District","啟德北，九龍城區",22.333,114.203,G-12,establishment,45.52
180,180.jpg,"Yau Oi South, Tuen Mun District","友愛南，屯門區",22.387,113.974,L-05,democracy,63.44
181,181.jpg,"To Tai, Kwun Tong District","淘大，觀塘區",22.325,114.216,J-40,democracy,62.16
182,182.jpg,"Kam Ping, Eastern District","錦屏，東區",22.29,114.2,C-21,democracy,50.70
183,183.jpg,"Yat Chak, Yuen Long District","逸澤，元朗區",22.468,113.998,M-31,democracy,58.14
184,184.jpg,"Aldrich Bay, Eastern District","愛秩序灣，東區",22.282,114.227,C-05,democracy,54.78
185,185.jpg,"Ching King, Yuen Long District","晴景，元朗區",22.464,114.005,M-29,democracy,54.70
186,186.jpg,"Chi Choi, Wong Tai Sin District","池彩，黃大仙區",22.337,114.209,H-24,democracy,58.67
187,187.jpg,"South Horizons East, Southern District","海怡東，南區",22.24,114.151,D-06,democracy,55.89
188,188.jpg,"Lai Wah, Kwai Tsing District","荔華，葵青區",22.347,114.14,S-17,democracy,56.18
189,189.jpg,"Pak Sha Wan, Sai Kung District","白沙灣，西貢區",22.359,114.236,Q-02,democracy,57.08
